chem_code,chem_name
2254,Abamectin
92254,"Abamectin, Other Related"
1158,Abietic Acid
1212,Abietic Anhydride
5952,S-Abscisic Acid
2346,Acacia
4048,Acenaphthene
1685,Acephate
5801,Acequinocyl
3012,Acetaldehyde
5080,"(E)-(3,3-Dimethylcyclohexylidene)Acetaldehyde"
5762,Acetamiprid
933,Acetic Acid
3013,"Acetic Acid, Copper (2+) Salt"
5065,"Acetic Acid, Sodium Salt (2:1)"
3014,Acetic Anhydride
2349,Acetochlor
2350,Acetohexamide
747,Acetone
3015,Acetonitrile
2074,Acetophenone
3017,Acetylated Lanolin
3018,Acetylated Lanolin Alcohol
5113,Acetylsalicylic Acid
5338,Acibenzolar-S-Methyl
2352,Acid Blue 7
2154,"Acid Blue 9, Diammonium Salt"
3562,"Acid Blue 9, Disodium Salt"
2218,"Acifluorfen, Sodium Salt"
1340,Acriflavine
3,Acrolein
3567,Acrylamide/Sodium Acrylate Copolymer
2118,Acrylic Acid
3019,Acrylonitrile
1724,Adipic Acid
3872,"Adipic Acid, Diisobutyl Ester"
2355,Aeron
6134,Afidopyropen
3568,Agar
2356,Agent 551-85
1984,Agrobacterium Radiobacter
5477,"Agrobacterium Radiobacter, Strain K1026"
1421,Akton
91421,"Akton, Other Related"
678,Alachlor
5804,Alachlor Ethanesulfonic Acid
5805,Alachlor Oxanilic Acid
6080,Alcohol Alkoxylate
2011,Alcohol Sulfates
2067,"Alcohols, C4-C12, Normal"
5824,"Alcohols, C6-C10"
5072,"Alcohols, C6-12"
5073,"Alcohols, C8-10"
5844,"Alcohols, C12-C14, Aliphatic"
6214,"Alcohols, C12 - C13, Ethoxylated"
575,Aldicarb
2361,Aldicarb Sulfoxide
2265,Aldoxycarb
9,Aldrin
90009,"Aldrin, Other Related"
3569,Alfalfa
3570,Alfalfa Meal
3571,Algin
5869,Alkanoic And Alkenoic (C18) Mono- And Diesters Of Alpha-Hydro-Omega-Hydroxypoly(Oxyethylene)
1036,"Alkenyl (75%C18, 25%C16) Dimethylamine Acetate"
1243,"Alkenyl (90%C18, 10%C16) Dimethylethyl Ammonium Bromide"
2020,3-Alkoxy (C12-C15)-2-Hydroxypropyl Trimethyl Ammonium Chloride
1706,"Alkyl And Alkylaryl Poly (Oxyethylene) Glycols, Mixed"
1122,Alkylamine Hydrochloride Alkyl Derived From Coconut Oil Fatty Acids
1830,1-(Alkylamino)-3-Aminopropane
2365,1-Alkyl (C6-C18) Amino-3-Aminopropane Acetate
1954,1-Alkyl (C6-C18) Amino-3-Aminopropane Diacetate
1972,"Alkylamino-3-Aminopropane Hydroxyacetate, Alkyl Derived From Coconut Oil Fatty Acids"
1335,"1-Alkylamino-2-Aminopropane Monoacetate, Alkyl Derived From Coconut Oil Fatty Acids"
748,Alpha-Alkylaryl-Omega-Hydroxypoly(Oxyethylene)
5323,Alkylaryl Polyethoxyethanol Sulfates
1199,Alkylaryl Sulfonates
1211,"Alkylaryl Sulfonates, Amine Salts"
2368,Alpha-Alkylaryl-Omega-Hydroxypoly(Oxyethylene) Phosphate
3573,Alkyl (As In Fatty Acids Of Coconut Oil) Monoethanolamide
2371,Alkyl (C9h12) Benzenes
1218,Alkyl Benzene Sulfonic Acid
1630,"Alkyl (C10-C14) Benzene Sulfonic Acid, Calcium Salt"
1739,"Para-Alkyl (C9-C13) Benzene Sulfonic Acid, Sodium Salt"
1438,Alkyl Benzyl Glyoxalidinium Chloride
2342,2-Alkyl-1-Benzyl-1-(2-Hydroxyethyl)-2-Imidazolinium Chloride (Alkyl Derived Fron Coconut Fatty Acids)
3021,"Alkyl N,N-Bis (2-Hydroxy Ethylamine) (100% C12-C18)"
2031,Alkyl (C8-C18) Bis (2-Hydroxyethyl) Benzyl Ammonium Chloride
3969,"Alkyl Diethylamide, Alkyl Derived From Palm Kernal Oil Fatty Acids"
2372,Alkyl Dimethyl Amine
3896,Alkyl (C10-16) Dimethyl Amine Oxide
6130,Alkyl Dimethyl Ammonio Acetate
2374,"Alkyl (C14, C12, C16) Dimethyl Benzyl Ammonium Chloride"
1903,"Alkyl & Dialkyl (C8-C13) Phenoxybenzene Disulfonic Acid, Sodium"
1714,"Alkyl & Dialkyl Succinic Acids, Salts Of"
1970,"Alkyl (47%C12, 18%C14, 10%C18, 10%C16, 15%C8-C10) Dimethylbenzyl Ammonium Chloride"
1850,"Alkyl (50%C12, 30%C14, 17%C16, 3%C18) Dimethylbenzyl Ammonium Chloride"
